序号,btc-e价格,火币网价格,差价,类型,时间
1,58.99705014749263,59.09133285683209,-0.09428270933945981,LTC/BTC,2017-06-19 03:08
2,7.117437722419928,7.029574861367838,0.0878628610520904,ETH/BTC,2017-06-19 03:08
3,0.11964384420457182,0.11896118299445473,0.0006826612101170915,ETH/LTC,2017-06-19 03:08
4,58.99705014749263,59.161490683229815,-0.1644405357371852,LTC/BTC,2017-06-19 03:09
5,7.117437722419928,7.055555555555555,0.061882166864372756,ETH/BTC,2017-06-19 03:09
6,0.11964384420457182,0.11925925925925926,0.0003845849453125577,ETH/LTC,2017-06-19 03:09
7,58.9622641509434,59.2000994437366,-0.23783529279319993,LTC/BTC,2017-06-19 03:10
8,7.117437722419928,7.042565933944059,0.0748717884758694,ETH/BTC,2017-06-19 03:10
9,0.11964384420457182,0.11896206256608183,0.0006817816384899894,ETH/LTC,2017-06-19 03:10
10,58.9622641509434,59.18633540372671,-0.22407125278331108,LTC/BTC,2017-06-19 03:11
11,7.117437722419928,7.045210897933533,0.07222682448639528,ETH/BTC,2017-06-19 03:11
12,0.11964384420457182,0.11903441647258882,0.0006094277319829977,ETH/LTC,2017-06-19 03:11
13,59.27682276229994,59.407793017456356,-0.13097025515641292,LTC/BTC,2017-06-19 03:12
14,7.128599942971201,7.058525925925926,0.07007401704527538,ETH/BTC,2017-06-19 03:12
15,0.12074378169524269,0.11881481481481482,0.0019289668804278737,ETH/LTC,2017-06-19 03:12
16,59.10165484633569,59.544603867747966,-0.4429490214122751,LTC/BTC,2017-06-19 03:13
17,7.102272727272727,7.057040405160623,0.045232322112103596,ETH/BTC,2017-06-19 03:13
18,0.12074378169524269,0.11851687553140365,0.0022269061638390403,ETH/LTC,2017-06-19 03:13
19,59.10165484633569,59.5074812967581,-0.40582645042240983,LTC/BTC,2017-06-19 03:14
20,7.102272727272727,7.046880767811,0.05539195946172626,ETH/BTC,2017-06-19 03:14
21,0.12074757237005751,0.11842008121077889,0.002327491159278619,ETH/LTC,2017-06-19 03:14
22,59.10165484633569,59.47630922693266,-0.3746543805969722,LTC/BTC,2017-06-19 03:15
23,7.102272727272727,7.053604436229205,0.04866829104352188,ETH/BTC,2017-06-19 03:15
24,0.12074757237005751,0.11859519408502774,0.002152378285029774,ETH/LTC,2017-06-19 03:15
25,59.27682276229994,59.407730673316706,-0.13090791101676302,LTC/BTC,2017-06-19 03:16
26,7.102272727272727,7.058413949422971,0.04385877784975545,ETH/BTC,2017-06-19 03:16
27,0.12074757237005751,0.11881305462141302,0.0019345177486444903,ETH/LTC,2017-06-19 03:16
28,59.27682276229994,59.44479101684342,-0.16796825454347442,LTC/BTC,2017-06-19 03:17
29,7.09823963657013,7.058466233583455,0.03977340298667542,ETH/BTC,2017-06-19 03:17
30,0.12074757237005751,0.11873986118621345,0.0020077111838440603,ETH/LTC,2017-06-19 03:17
31,59.27682276229994,59.55625,-0.2794272377000553,LTC/BTC,2017-06-19 03:18
32,7.09823963657013,7.058361666037051,0.0398779705330794,ETH/BTC,2017-06-19 03:18
33,0.12074757237005751,0.11851588483218892,0.002231687537868593,ETH/LTC,2017-06-19 03:18
34,59.241706161137444,59.377750000000006,-0.13604383886256244,LTC/BTC,2017-06-19 03:19
35,7.09823963657013,7.026952662721894,0.07128697384823646,ETH/BTC,2017-06-19 03:19
36,0.11964413049824603,0.11834319526627218,0.001300935231973846,ETH/LTC,2017-06-19 03:19
37,59.241706161137444,59.377750000000006,-0.13604383886256244,LTC/BTC,2017-06-19 03:20
38,7.102272727272727,7.029552349241584,0.07272037803114273,ETH/BTC,2017-06-19 03:20
39,0.11964413049824603,0.11838697743248243,0.0012571530657635999,ETH/LTC,2017-06-19 03:20
40,58.99705014749263,59.466950425638466,-0.4699002781458361,LTC/BTC,2017-06-19 03:21
41,7.0916956244238,7.037310834734558,0.05438478968924265,ETH/BTC,2017-06-19 03:21
42,0.11964413049824603,0.11833986414915444,0.0013042663490915873,ETH/LTC,2017-06-19 03:21
43,58.99705014749263,59.4650893499828,-0.46803920249016784,LTC/BTC,2017-06-19 03:21
44,7.068136839129206,7.03762361568947,0.03051322343973606,ETH/BTC,2017-06-19 03:21
45,0.11964413049824603,0.11834882773436052,0.0012953027638855086,ETH/LTC,2017-06-19 03:21
46,58.99705014749263,59.4650893499828,-0.46803920249016784,LTC/BTC,2017-06-19 03:21
47,7.068136839129206,7.03762361568947,0.03051322343973606,ETH/BTC,2017-06-19 03:21
48,0.11964413049824603,0.11834882773436052,0.0012953027638855086,ETH/LTC,2017-06-19 03:21
49,58.99705014749263,59.466950425638466,-0.4699002781458361,LTC/BTC,2017-06-19 03:22
50,7.068136839129206,7.039970359392368,0.02816647973683839,ETH/BTC,2017-06-19 03:22
51,0.11964413049824603,0.11838458688403111,0.001259543614214917,ETH/LTC,2017-06-19 03:22
52,58.99705014749263,59.45237797246558,-0.4553278249729473,LTC/BTC,2017-06-19 03:22
53,7.089684509039348,7.063535079795241,0.026149429244106237,ETH/BTC,2017-06-19 03:22
54,0.11964413049824603,0.11880996724919238,0.0008341632490536516,ETH/LTC,2017-06-19 03:22
55,58.99705014749263,59.508236767929844,-0.5111866204372149,LTC/BTC,2017-06-19 03:23
56,7.124536905101168,7.063535079795241,0.06100182530592679,ETH/BTC,2017-06-19 03:23
57,0.12048192771084336,0.11869844350021003,0.001783484210633332,ETH/LTC,2017-06-19 03:23
58,59.031877213695395,59.71457185778668,-0.6826946440912849,LTC/BTC,2017-06-19 03:24
